"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.926864,97.2504,74.8298,1,"pose_keypoints",16,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,13.6293,53.7702,0.419592009485056,1.66799111503679
0.850762,71.8726,76.7737,1,"pose_keypoints",17,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-11.7485,51.8263,-0.367931370151436,1.60927201730701
0.237913,103.142,78.6852,1,"pose_keypoints",18,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,19.5209,49.9148,0.60269382688818,1.54795707644733
0,NA,NA,1,"pose_keypoints",19,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",24,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.888176,90.4808,83.6094,1,"pose_keypoints",0,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,5.8908,45.9006,0.138050876792742,1.3783571574053
0.811225,84.59,129.51,1,"pose_keypoints",1,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,0,0,0,0
0.787515,52.3292,129.532,1,"pose_keypoints",2,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-32.2608,-0.0220000000000198,-0.972308829105566,0.0270959697040305
0.735457,42.4822,197.977,1,"pose_keypoints",3,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-42.1078,-68.467,-1.21019951634094,-2.02733635061461
0.788664,26.8611,269.291,1,"pose_keypoints",4,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-57.7289,-139.781,-1.61965064304316,-4.16327083028354
0.762108,117.796,128.562,1,"pose_keypoints",5,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,33.206,0.947999999999979,1,0
0.756703,150.043,190.161,1,"pose_keypoints",6,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,65.453,-60.651,2.02491514211816,-1.88431667634548
0.838896,144.183,174.494,1,"pose_keypoints",7,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,59.593,-44.984,1.83481627401271,-1.40707720977426
0.501602,86.5188,246.856,1,"pose_keypoints",8,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,1.9288,-117.346,0.159104492384774,-3.53842170266761
0.526778,65.9865,248.797,1,"pose_keypoints",9,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-18.6035,-119.287,-0.45806076548032,-3.5792555078698
0.565002,65.9692,331.901,1,"pose_keypoints",10,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-18.6208,-202.391,-0.387074736812709,-6.08396233058789
0,NA,NA,1,"pose_keypoints",11,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.500565,106.118,246.833,1,"pose_keypoints",12,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,21.528,-117.323,0.749796842218265,-3.55459276656095
0.549901,106.094,328.948,1,"pose_keypoints",13,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,21.504,-199.438,0.819729943260316,-6.02948575517108
0,NA,NA,1,"pose_keypoints",14,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.907292,82.6712,74.845,1,"pose_keypoints",15,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-1.9188,54.665,-0.104868772037713,1.6492325361649
0.942313,97.302,74.8347,1,"pose_keypoints",16,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,12.712,54.6753,0.336088893633548,1.63695379536335
0.876275,73.7637,76.7571,1,"pose_keypoints",17,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-10.8263,52.7529,-0.371692020452612,1.59926712146567
0.384783,104.135,77.7348,1,"pose_keypoints",18,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,19.545,51.7752,0.544528224747731,1.54366642302413
0,NA,NA,1,"pose_keypoints",19,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",24,"later_than",2,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.86048,91.4386,83.626,1,"pose_keypoints",0,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,4.93299999999999,44.967,0.155564706190533,1.43581695752086
0.794289,86.5056,128.593,1,"pose_keypoints",1,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,0,0,0,0
0.768118,53.2994,129.509,1,"pose_keypoints",2,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-33.2062,-0.915999999999997,-1.06040879467539,-0.0277964839918047
